Gene Set	Class1	Class2	Class3	Average AUC
Mixed100	0.99490909	0.87282386	0.84445465	0.904062533333
Mixed50	0.99494949	0.86579125	0.83828283	0.899674523333
Mixed990	0.99313131	0.87390470	0.81797980	0.89500527
Signal10	0.99494949	0.84680135	0.81888889	0.88687991
Signal2	0.99268687	0.84141414	0.80767677	0.880592593333
Mixed10	0.99494949	0.83077441	0.81373737	0.879820423333
Signal1	0.97688889	0.81780158	0.81808081	0.87092376
Mixed2	0.97943434	0.79488215	0.81927048	0.86452899
Random100	0.51396347	0.55946128	0.59383838	0.555754376667
Random2	0.49378472	0.59730640	0.47373737	0.521609496667
Random10	0.55581675	0.55905724	0.43000000	0.514957996667
Random990	0.54066157	0.52228956	0.47222222	0.51172445
Random1	0.47278237	0.55582492	0.48555556	0.50472095
Random50	0.46820161	0.48666667	0.52797980	0.494282693333
